Dataset,STNet  c_t_log1p,STNet  c_diff_log1p,EGGN  c_t_log1p,EGGN  c_diff_log1p,EGN  c_t_log1p,EGN  c_diff_log1p,HisToGene  c_t_log1p,HisToGene  c_diff_log1p,BLEEP  c_t_log1p,BLEEP  c_diff_log1p,SEPAL  c_t_log1p,SEPAL  c_diff_log1p
vicari_mouse_brain,1.1132,1.081,1.191,1.12758,1.103,1.055,,,1.507,1.409,1.1676,1.172
mirzazadeh_mouse_brain,0.9399,0.956,0.9201,0.944,0.9981,0.986,0.9278,0.969,1.816,1.082,0.9332,0.93
mirzazadeh_human_prostate_cancer,1.1987,1.184,0.9912,1.068,1.06,1.117,2.046,2.013,1.273,1.35,1.0721,1.089
parigi_mouse_intestine,0.1662,0.167,0.1784,0.18,0.172,0.171,0.6753,0.677,0.1931,0.196,0.1687,0.169
villacampa_mouse_brain,1.3161,1.298,1.067,1.167,1.162,1.114,1.116,1.086,1.399,1.212,1.1478,1.133
mirzazadeh_human_small_intestine,5.4428,3.586,6.062,3.03,4.252,3.155,14.683,10.713,5.318,3.227,4.1469,3.975
mirzazadeh_human_colon_p2,0.8276,0.818,0.8407,0.82,0.9079,0.884,2.105,2.119,1.1,0.864,0.862,0.865
erickson_human_prostate_cancer_p2,0.7042,0.691,0.7448,0.744,0.7177,0.703,0.9708,1.102,0.8872,0.758,0.698,0.688
erickson_human_prostate_cancer_p1,1.1257,1.054,1.173,1.155,1.111,1.084,1.128,1.125,2.225,1.166,1.1427,1.121
mirzazadeh_mouse_brain_p2,0.9859,0.988,1.007,0.983,0.9992,1.011,1.184,1.194,1.163,1.153,0.9328,0.937
mirzazadeh_mouse_brain_p1,0.9485,0.992,0.9624,0.963,0.9947,0.964,1.967,2.007,1.29,1.166,0.9539,0.972
abalo_human_squamous_cell_carcinoma,0.9682,0.884,1.138,1.026,1.051,1.008,1.539,1.463,1.139,1.049,0.9643,0.933
10xgenomic_human_brain,0.8322,0.826,0.8807,0.854,0.99,0.986,1.622,1.575,1.058,1.019,0.8904,0.893
fan_mouse_brain_coronal,0.9667,0.94,1.005,1.004,1.106,1.074,1.671,1.643,1.138,1.11,0.9449,0.919
10xgenomic_human_breast_cancer,1.0103,1.068,0.9754,0.939,1.049,1.037,1.764,1.769,1.269,1.135,0.9279,0.888
mirzazadeh_mouse_bone,0.5993,0.668,0.6931,0.644,0.6234,0.622,1.078,0.985,0.7057,0.674,0.666,0.637
10xgenomic_mouse_brain_sagittal_posterior,0.7796,0.787,1.096,1.055,1.012,1.029,2.092,2.087,1.118,1.007,0.8553,0.856
mirzazadeh_human_pediatric_brain_tumor_p1,0.2326,0.234,0.2373,0.232,0.2462,0.244,0.7179,0.728,0.2997,0.272,0.2313,0.224
10xgenomic_mouse_brain_coronal,1.1111,1.075,0.8416,0.827,0.9394,0.951,1.644,1.623,1.15,1.124,0.842,0.843
10xgenomic_mouse_brain_sagittal_anterior,0.7921,0.81,1.229,1.182,1.027,1.031,2.187,2.071,1.301,1.1,0.9537,0.859
fan_mouse_olfatory_bulb,0.8328,0.81,0.7481,0.732,0.8602,0.866,1.391,1.448,1.026,0.943,0.7431,0.779
villacampa_lung_organoid,0.7742,0.747,0.836,0.799,0.8281,0.792,0.8479,0.835,0.7733,0.811,0.7496,0.731
villacampa_kidney_organoid,0.8628,0.822,0.8732,0.84,0.8756,0.847,1.462,1.581,0.9049,0.89,0.8735,0.806
vicari_human_striatium,0.6484,0.67,0.694,0.709,0.6786,0.647,0.7149,0.703,0.7736,0.746,0.6566,0.62
mirzazadeh_human_pediatric_brain_tumor_p2,0.8411,0.841,0.8309,0.835,0.8293,0.803,1.822,1.857,0.938,0.91,0.8216,0.798
mirzazadeh_human_colon_p1,1.375,1.425,1.52,1.388,1.326,1.363,2.976,3.027,2.59,2.413,1.5607,1.605
