Dataset,stDiff*,SpaCKLE,LGDist,SpaCKLE vs LGDist,stDiff vs LGDist
fan_mouse_olfactory_bulb,0.49,0.701,0.84,-19.76,-71.43
mirzazadeh_mouse_brain_p2,0.71,0.659,0.912,-38.46,-28.49
mirzazadeh_human_pediatric_brain_tumor_p1,0.474,0.214,0.168,21.44,64.56
mirzazadeh_mouse_brain,2.825,0.793,0.909,-14.7,67.82
parigi_mouse_intestine,0.166,0.331,0.148,55.46,11.12
mirzazadeh_mouse_brain_p1,0.621,0.667,0.562,15.74,9.48
10xgenomic_mouse_brain_sagittal_posterior,0.633,0.638,0.477,25.18,24.64
mirzazadeh_human_prostate_cancer,0.826,0.815,0.691,15.28,16.38
10xgenomic_mouse_brain_sagittal_anterior,0.603,0.691,0.612,11.42,-1.49
mirzazadeh_mouse_bone,0.66,0.628,0.417,33.55,36.82
10xgenomic_human_breast_cancer,0.577,0.81,0.512,36.76,11.27
10xgenomic_human_brain,0.673,0.655,0.579,11.59,13.95
villacampa_mouse_brain,0.921,0.815,0.5,38.63,45.71
vicari_mouse_brain,0.77,0.824,0.37,55.07,51.94
abalo_human_squamous_cell_carcinoma,0.704,0.771,0.843,-9.29,-19.74
erickson_human_prostate_cancer_p1,0.775,0.641,0.85,-32.58,-9.68
10xgenomic_mouse_brain_coronal,0.61,0.643,0.591,8.13,3.11
mirzazadeh_human_pediatric_brain_tumor_p2,0.749,0.707,0.189,73.28,74.77
mirzazadeh_human_small_intestine,2.189,1.571,0.376,76.06,82.82
villacampa_kidney_organoid,0.826,0.93,1.014,-8.98,-22.76
mirzazadeh_human_colon_p1,0.831,1.18,0.644,45.41,22.5
villacampa_lung_organoid,0.749,0.804,0.843,-4.87,-12.55
fan_mouse_brain_coronal,0.667,0.656,0.493,24.83,26.11
vicari_human_striatium,0.613,0.505,0.462,8.46,24.63
mirzazadeh_human_colon_p2,0.765,0.733,0.421,42.62,45.02
erickson_human_prostate_cancer_p2,1.591,0.589,0.652,-10.6,59.02
